Volcano_Name;Country;Type;LAT;LON
Great Sitkin;United States;Stratovolcano;52.07;-176.13
Griggs;United States;Stratovolcano;58.35;-155.09
Grímsvötn;Iceland;Caldera;64.42;-17.33
Guagua Pichincha;Ecuador;-;-0.17;-78.60
Guallatiri;Chile;Stratovolcano;-18.42;-69.09
Guguan;United States;Stratovolcano;17.31;145.84
Hakone;Japan;-;35.23;139.02
Heard;Australia;Stratovolcano;-53.10;73.50
Hibok-hibok;Philippines;Stratovolcano;9.20;124.70
Hierro;Spain;Shield;27.73;-18.03
Hood;United States;Stratovolcano;45.40;-121.70
Hualalai;United States;Shield;19.69;-155.87
Ibu;Indonesia;Stratovolcano;1.49;127.63
Ijen;Indonesia;Stratovolcano;-8.06;114.24
Iliamna;United States;Stratovolcano;60.03;-153.09
Iliboleng;Indonesia;Stratovolcano;-8.34;123.26
Iliniza;Ecuador;Stratovolcano;-0.66;-78.71
Ilopango;El Salvador;Caldera;13.67;-89.05
Ilyinsky;Russia;Stratovolcano;51.49;157.20
Ioto (Iwo-jima);Japan;Caldera;24.75;141.29
Iraya;Philippines;Stratovolcano;20.47;122.01
Irazu;Costa Rica;Stratovolcano;9.98;83.85
Isanotski;United States;Stratovolcano;54.77;-163.72
Izalco;El Salvador;Stratovolcano;13.81;-89.63
Iztaccihuatl;Mexico;Stratovolcano;19.18;-98.64
Izu-Tobu;Japan;Pyroclastic cone;34.90;139.10
Jailolo;Indonesia;Stratovolcano;1.08;127.42
Jefferson;United States;Stratovolcano;44.67;-121.80
Jordan Craters;United States;Volcanic field;43.10;-117.40
Kadovar;Papua New Guinea;Stratovolcano;-3.63;144.63
Kaguyak;United States;Stratovolcano;58.62;-154.06
Kahoolawe;United States;Shield;20.55;-156.57
Kambalny;Russia;Stratovolcano;51.30;156.87
Kanaga;United States;Stratovolcano;51.92;-177.17
Karangetang [Api Siau];Indonesia;Stratovolcano;2.78;125.40
Karisimbi;Congo, Rwanda;Stratovolcano;-1.51;29.45
Karisimbi;Congo, Rwanda;Stratovolcano;-1.51;29.45
Karthala;Comoros;Shield;-11.75;43.38
Karymsky;Russia;Stratovolcano;54.05;159.45
Katla;Iceland;Fissure vent;63.63;-19.05
Katmai;United States;Stratovolcano;58.28;-154.96
Katwe-Kikorongo;Uganda;Volcanic field;-0.08;29.92
Kavachi;Solomon Islands;Submarine;-9.02;157.95
Kell;Russia;Stratovolcano;51.65;157.35
Kelut;Indonesia;Stratovolcano;-7.93;112.31
Kerinci;Indonesia;Stratovolcano;1.70;101.26
Khodutka;Russia;Stratovolcano;52.06;157.70
Kialagvik;United States;Stratovolcano;57.20;-156.75
Kick 'em Jenny;Grenada;Submarine;12.30;-61.64
Kikai;Japan;Caldera;30.79;130.31
